10,10,188,191
208,10,189,191
407,10,192,191
609,10,192,191
811,10,192,191
1013,10,192,191
1215,10,191,191
1416,10,190,191
1616,10,188,191
1814,10,188,191
10,211,188,191
208,211,189,191
407,211,189,191
606,211,188,191
804,211,189,191
1003,211,192,191
1205,211,192,191
1407,211,192,191
1609,211,192,191
1811,211,192,191
10,412,192,191
212,412,192,191
414,412,192,191
616,412,189,191
815,412,188,191
1013,412,188,191
1211,412,188,191
1409,412,188,191
1607,412,188,191
1805,412,188,191
10,613,188,191
208,613,188,191
406,613,188,191
604,613,188,191
802,613,188,191
1000,613,188,191
1198,613,527,191
10,814,529,191
549,814,529,191
1088,814,529,191
10,1015,529,191
549,1015,529,191
1088,1015,529,191
10,1216,528,191
548,1216,526,191
1084,1216,188,191
1282,1216,188,191
1480,1216,188,191
1678,1216,188,191
10,1417,188,191
208,1417,188,191
406,1417,188,191
604,1417,188,191
802,1417,188,191
1000,1417,188,191
1198,1417,188,191
1396,1417,188,191
1594,1417,188,191
1792,1417,188,191
10,1618,188,191
208,1618,188,191
406,1618,566,200
982,1618,568,200
10,1828,568,200
588,1828,568,200
1166,1828,568,200
10,2038,568,200
588,2038,568,200
1166,2038,567,200
10,2248,566,200
586,2248,188,191
784,2248,188,191
982,2248,188,191
1180,2248,188,191
1378,2248,417,185
10,2458,418,185
438,2458,425,185
873,2458,436,184
1319,2458,436,184
10,2653,437,184
457,2653,437,184
904,2653,438,184
1352,2653,438,185
10,2848,438,186
458,2848,439,187
907,2848,439,188
1356,2848,439,190
10,3048,439,190
459,3048,440,191
909,3048,441,192
1360,3048,438,196
10,3254,436,196
456,3254,432,196
898,3254,188,192
1096,3254,189,192
1295,3254,192,192
1497,3254,192,192
1699,3254,192,192
10,3460,192,192
212,3460,191,192
413,3460,190,192
613,3460,188,192
811,3460,188,192
1009,3460,188,192
1207,3460,189,192
